[COM16] Ready. Waiting for STM32 requests...
[COM21] Ready. Waiting for STM32 requests...
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 15.836553
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.003395
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 56.213585
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 47.390259
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 48.539921
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.000067
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 53.558708
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 69.367935
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.000038
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 52.749329
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 4.937535
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.000016
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.090669
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.000162
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 7.787387
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 29.015135
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 96.425842
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.048891
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 39.971226
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 12.221479
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 2.844618
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.000001
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 71.811913
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.000001
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.000050
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 73.963821
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.019729
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 21.590940
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 33.093391
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 15.628956
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 27.902721
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 11.841318
