[COM16] Ready. Waiting for STM32 requests...
[COM21] Ready. Waiting for STM32 requests...
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.973992
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.673432
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.334258
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.697339
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.600017
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.448092
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.503306
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.854748
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.828858
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.391408
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.519273
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.325872
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.698575
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.608140
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.551867
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.783495
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 1.074199
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.979518
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.886338
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.581313
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.449140
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.831648
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.494489
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 1.321363
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.892027
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.515398
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.259199
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.498057
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.461951
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.785348
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.581077
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 2.035223
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.848088
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.220794
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.542041
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.294815
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.499648
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.541473
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.554049
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.482083
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.273107
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.409180
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.422718
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.417391
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.173590
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.516033
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.865907
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.452447
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.725023
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.797342
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.432949
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.693684
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 1.507812
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.682885
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.320903
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.253478
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.747283
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.861411
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.908722
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.434426
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.645192
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.835977
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.843457
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.706360
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.423078
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.648058
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.688455
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.708975
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.931642
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.754981
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.561211
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.705903
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.358149
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 1.210683
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.405547
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.352493
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.777981
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.796173
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.898766
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.726908
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.569452
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.459513
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.356629
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 1.422809
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.806893
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 1.120618
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.432989
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 1.170772
[COM21] Training data finished at seq=50, sent CODE_FINISH
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 1.146432
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 1.491618
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.816694
[COM16] Training data finished at seq=50, sent CODE_FINISH
[COM21] Inference data finished at seq=20, sent CODE_FINISH
[COM21] STM32 inference accuracy = 0.400000
[COM16] Inference data finished at seq=20, sent CODE_FINISH
[COM16] STM32 inference accuracy = 0.450000
[COM21] FedRound 1 TestAcc = 0.8500
[COM21] Test data finished at seq=20, sent CODE_FINISH
[COM16] FedRound 1 TestAcc = 0.7000
[COM16] Test data finished at seq=20, sent CODE_FINISH
--- Federated run summary ---
COM21 got 20 test predictions
COM16 got 20 test predictions
[COM16] Ready. Waiting for STM32 requests...
[COM21] Ready. Waiting for STM32 requests...
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.208436
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.591275
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.910986
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.574510
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.566961
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.743582
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.549457
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.765769
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.677135
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.357787
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.720696
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.913290
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.628899
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.304919
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.865514
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.389380
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.411546
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.335921
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.448398
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.919947
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.690139
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.785183
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.490446
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.981887
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.677938
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.465968
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.888310
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 1.112852
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.641931
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.414743
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.826179
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.468947
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 1.295510
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.817673
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.235825
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.524545
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.816687
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.657760
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.910696
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.509650
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.630163
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.455139
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.406448
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 2.020869
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.378074
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.224944
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.474374
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.535161
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.491514
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.294662
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.766593
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.497819
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.834827
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.559555
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.279978
